"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2\server.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2","server.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","server","System.Collections.Generic.List`1[System.String]",,"server.bash","C:\Users\champuser\CSI-230\Week2\server.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2\tom-wg0.conf","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2","tom-wg0.conf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","tom-wg0","System.Collections.Generic.List`1[System.String]",,"tom-wg0.conf","C:\Users\champuser\CSI-230\Week2\tom-wg0.conf",,"True",,".conf","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2\wg0.conf","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2","wg0.conf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","wg0","System.Collections.Generic.List`1[System.String]",,"wg0.conf","C:\Users\champuser\CSI-230\Week2\wg0.conf",,"True",,".conf","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4\activehosts.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4","activehosts.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","activehosts","System.Collections.Generic.List`1[System.String]",,"activehosts.txt","C:\Users\champuser\CSI-230\week4\activehosts.txt",,"True",,".txt","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4\binaryip.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4","binaryip.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","binaryip","System.Collections.Generic.List`1[System.String]",,"binaryip.bash","C:\Users\champuser\CSI-230\week4\binaryip.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4\binarymask.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4","binarymask.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","binarymask","System.Collections.Generic.List`1[System.String]",,"binarymask.bash","C:\Users\champuser\CSI-230\week4\binarymask.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4\binarynetwork.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4","binarynetwork.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","binarynetwork","System.Collections.Generic.List`1[System.String]",,"binarynetwork.bash","C:\Users\champuser\CSI-230\week4\binarynetwork.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4\convbin2ip.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4","convbin2ip.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","convbin2ip","System.Collections.Generic.List`1[System.String]",,"convbin2ip.bash","C:\Users\champuser\CSI-230\week4\convbin2ip.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4\getfullip.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4","getfullip.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","getfullip","System.Collections.Generic.List`1[System.String]",,"getfullip.bash","C:\Users\champuser\CSI-230\week4\getfullip.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4\getprefix.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4","getprefix.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","getprefix","System.Collections.Generic.List`1[System.String]",,"getprefix.bash","C:\Users\champuser\CSI-230\week4\getprefix.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
