"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\most_100.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","most_100.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","most_100","System.Collections.Generic.List`1[System.String]",,"most_100.txt","C:\Users\champuser\CSI-230\Week6\most_100.txt",,"True",,".txt","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\mypage.html","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","mypage.html","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","mypage","System.Collections.Generic.List`1[System.String]",,"mypage.html","C:\Users\champuser\CSI-230\Week6\mypage.html",,"True",,".html","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\passwords.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","passwords.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","passwords","System.Collections.Generic.List`1[System.String]",,"passwords.txt","C:\Users\champuser\CSI-230\Week6\passwords.txt",,"True",,".txt","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\testpass.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","testpass.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","testpass","System.Collections.Generic.List`1[System.String]",,"testpass.bash","C:\Users\champuser\CSI-230\Week6\testpass.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\webservers.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","webservers.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","webservers","System.Collections.Generic.List`1[System.String]",,"webservers.txt","C:\Users\champuser\CSI-230\Week6\webservers.txt",,"True",,".txt","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week7\.accounts.bash.swp","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week7",".accounts.bash.swp","C","Microsoft.PowerShell.Core\FileSystem","False","-a----",".accounts.bash","System.Collections.Generic.List`1[System.String]",,".accounts.bash.swp","C:\Users\champuser\CSI-230\week7\.accounts.bash.swp",,"True",,".swp","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week7\accounts.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week7","accounts.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","accounts","System.Collections.Generic.List`1[System.String]",,"accounts.bash","C:\Users\champuser\CSI-230\week7\accounts.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week7\usr.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week7","usr.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","usr","System.Collections.Generic.List`1[System.String]",,"usr.txt","C:\Users\champuser\CSI-230\week7\usr.txt",,"True",,".txt","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week8\file.ps1","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week8","file.ps1","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","file","System.Collections.Generic.List`1[System.String]",,"file.ps1","C:\Users\champuser\CSI-230\week8\file.ps1",,"True",,".ps1","10/18/2023 12:52:02 PM","10/18/2023 4:52:02 PM","10/18/2023 1:08:29 PM","10/18/2023 5:08:29 PM","10/18/2023 1:08:29 PM","10/18/2023 5:08:29 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week8\firstlog.ps1","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week8","firstlog.ps1","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","firstlog","System.Collections.Generic.List`1[System.String]",,"firstlog.ps1","C:\Users\champuser\CSI-230\week8\firstlog.ps1",,"True",,".ps1","10/18/2023 1:15:29 PM","10/18/2023 5:15:29 PM","10/18/2023 1:57:09 PM","10/18/2023 5:57:09 PM","10/18/2023 1:57:09 PM","10/18/2023 5:57:09 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week8\rep.csv","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week8","rep.csv","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","rep","System.Collections.Generic.List`1[System.String]",,"rep.csv","C:\Users\champuser\CSI-230\week8\rep.csv",,"True",,".csv","10/18/2023 1:57:17 PM","10/18/2023 5:57:17 PM","10/18/2023 1:57:17 PM","10/18/2023 5:57:17 PM","10/18/2023 1:57:17 PM","10/18/2023 5:57:17 PM","Archive"
